Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;0.40006545;0.04139311;0.2034530;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;3.57451038;NA;NA;0.8757535
Kostrzewa-Nowak & Nowak (2018)b;1.46200811;0.08376630;0.2894241;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;7.2097340
Kostrzewa-Nowak & Nowak (2020a)a;0.78075244;0.02429037;0.1558537;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.277416;0.79247469;0.3885843;1.54390679;0.7247441
Kostrzewa-Nowak & Nowak (2020a)b;0.44161278;0.02027857;0.1424029;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.155447;0.48284203;3.8543360;0.40823039;0.6284549
Kostrzewa-Nowak & Nowak (2020b)a;0.43859549;0.03739026;0.1933656;18.00;male;19.28;Low;Maximal;20;176.0;intra;2.383550;0.79528216;1.4593019;0.17678654;0.7775499
Kostrzewa-Nowak & Nowak (2020b)b;-0.04590128;0.03382290;0.1839100;19.00;male;19.44;Low;Maximal;20;176.0;intra;2.403302;0.72173939;1.2268436;0.01011045;0.7978184
Kostrzewa-Nowak & Nowak (2020b)c;0.60195364;0.04057742;0.2014384;20.00;male;20.49;Low;Maximal;20;176.0;intra;3.541579;0.70012657;1.0857435;0.19534189;0.6608284
Kostrzewa-Nowak & Nowak (2020b)d;0.60864606;0.04072933;0.2018151;16.00;male;21.91;Low;Maximal;20;176.0;intra;1.917196;-0.09167607;1.8288481;0.27652815;1.1096310
Kostrzewa-Nowak & Nowak (2020b)e;1.07276544;0.05536138;0.2352900;17.00;male;21.54;Low;Maximal;20;176.0;intra;1.955752;0.50239358;1.1610093;0.40220904;3.6744764
Kostrzewa-Nowak et al. (2019);3.93713283;1.61540762;1.2709869;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.14926878;NA;NA;9.4901583
Steensberg et al. (2001);-0.85405765;0.07870161;0.2805381;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
