Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;0.43367466;0.05599143;0.2366251;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;3.89131708;NA;NA;0.9799225
Kostrzewa-Nowak & Nowak (2018)b;1.46260845;0.11173856;0.3342732;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;7.7366498
Kostrzewa-Nowak & Nowak (2020a)a;0.78359498;0.03244454;0.1801237;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.454966;0.86454114;0.433594;1.69782236;0.7928278
Kostrzewa-Nowak & Nowak (2020a)b;0.44900605;0.02712306;0.1646908;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.313683;0.48495769;4.141964;0.40966220;0.6612008
Kostrzewa-Nowak & Nowak (2020b)a;0.44089454;0.04990423;0.2233925;18.00;male;19.28;Low;Maximal;20;176.0;intra;2.641276;0.89702727;1.560609;0.17683168;0.8804393
Kostrzewa-Nowak & Nowak (2020b)b;-0.04865586;0.04510371;0.2123763;19.00;male;19.44;Low;Maximal;20;176.0;intra;2.669714;0.80468218;1.287699;0.01043923;0.9019114
Kostrzewa-Nowak & Nowak (2020b)c;0.65026055;0.05561550;0.2358294;20.00;male;20.49;Low;Maximal;20;176.0;intra;3.902212;0.78543580;1.195969;0.20229619;0.7540309
Kostrzewa-Nowak & Nowak (2020b)d;0.60911547;0.05432007;0.2330667;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.160423;-0.09195693;1.925015;0.27953425;1.2672407
Kostrzewa-Nowak & Nowak (2020b)e;1.11367529;0.07605134;0.2757741;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.196753;0.50240404;1.268169;0.43562682;4.1384957
Kostrzewa-Nowak et al. (2019);4.49087223;2.77613261;1.6661730;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.16842668;NA;NA;9.5554877
Steensberg et al. (2001);-0.85417850;0.10494465;0.3239516;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
