Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;0.49265242;0.10071664;0.3173588;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;4.45779590;NA;NA;1.1918914
Kostrzewa-Nowak & Nowak (2018)b;1.46338140;0.19565557;0.4423297;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;8.6218485
Kostrzewa-Nowak & Nowak (2020a)a;0.78729571;0.05690922;0.2385565;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.851163;0.99462890;0.5239249;1.98596726;0.9172606
Kostrzewa-Nowak & Nowak (2020a)b;0.45908095;0.04767194;0.2183391;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.546471;0.48771914;4.6281136;0.41152543;0.7119473
Kostrzewa-Nowak & Nowak (2020b)a;0.44390428;0.08744890;0.2957176;18.00;male;19.28;Low;Maximal;20;176.0;intra;3.141421;1.11264419;1.7283755;0.17688978;1.1029448
Kostrzewa-Nowak & Nowak (2020b)b;-0.05305455;0.07895107;0.2809823;19.00;male;19.44;Low;Maximal;20;176.0;intra;3.192855;0.97047652;1.3811257;0.01091321;1.1250942
Kostrzewa-Nowak & Nowak (2020b)c;0.73375729;0.10238291;0.3199733;20.00;male;20.49;Low;Maximal;20;176.0;intra;4.583471;0.96129533;1.4039224;0.21243483;0.9640532
Kostrzewa-Nowak & Nowak (2020b)d;0.60972058;0.09509239;0.3083705;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.673350;-0.09232185;2.0743147;0.28354728;1.6241066
Kostrzewa-Nowak & Nowak (2020b)e;1.17387188;0.13911434;0.3729803;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.696656;0.50241749;1.4626920;0.49405032;5.1144321
Kostrzewa-Nowak et al. (2019);5.73631728;7.83029267;2.7982660;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.20910212;NA;NA;9.6414995
Steensberg et al. (2001);-0.85433395;0.18367379;0.4285718;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
