Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.12352338;0.06546623;0.2558637;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;-0.46073904;0.04251229;0.2061851;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.15457295;NA;NA;-0.3449090
Kostrzewa-Nowak & Nowak (2018)b;-0.31087434;0.04003434;0.2000858;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.14632992;NA;NA;5.8582786
Kostrzewa-Nowak & Nowak (2020a)a;0.40548705;0.01998242;0.1413592;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.281588;0.12168359;1.094490;1.81583844;0.6459394
Kostrzewa-Nowak & Nowak (2020a)b;0.30998338;0.01932117;0.1390006;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.347748;0.85969847;1.540825;0.37871231;0.8368596
Kostrzewa-Nowak & Nowak (2020b)a;1.16731424;0.05933257;0.2435828;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.362257;-0.23786471;1.815053;0.15068891;0.5122656
Kostrzewa-Nowak & Nowak (2020b)b;0.94021910;0.05035862;0.2244073;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.305978;-0.38380103;1.411229;-0.78309722;0.5813175
Kostrzewa-Nowak & Nowak (2020b)c;-0.03610144;0.03380783;0.1838691;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.400828;0.08482492;1.427394;-0.03346062;0.4221738
Kostrzewa-Nowak & Nowak (2020b)d;0.15098846;0.03421085;0.1849618;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.096152;-0.35139144;1.290552;0.09281114;1.0127400
Kostrzewa-Nowak & Nowak (2020b)e;0.27471088;0.03519838;0.1876123;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.649195;-0.27908465;2.785947;0.30943305;1.0245779
Kostrzewa-Nowak et al. (2019);-3.11595569;1.03622411;1.0179509;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.49070448;NA;NA;6.0686850
Steensberg et al. (2001);0.14311656;0.05507054;0.2346711;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);0.83735179;0.04210106;0.2051854;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.11869976;0.06541616;0.2557658;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.00000000;0.06481231;0.2545826;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5648681
Lancaster et al. (2005)c;0.32866476;0.06944177;0.2635181;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4088368
Harbaum et al. (2016)a;0.99135750;0.05221070;0.2284966;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.05800483;-0.9177192
Harbaum et al. (2016)b;1.82857143;0.15046531;0.3878986;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.14620247;NA;1.24263548;0.3587897
