Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.14079800;0.13132384;0.3623863;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;-0.55181171;0.08897668;0.2982896;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.16455898;NA;NA;-0.3647425
Kostrzewa-Nowak & Nowak (2018)b;-0.33551854;0.08075139;0.2841679;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.15133623;NA;NA;6.0303673
Kostrzewa-Nowak & Nowak (2020a)a;0.41126741;0.04005623;0.2001405;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.721764;0.12213871;1.352246;2.40193446;0.7603218
Kostrzewa-Nowak & Nowak (2020a)b;0.34085718;0.03903125;0.1975633;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.746909;0.90189180;1.957225;0.38079507;0.9798508
Kostrzewa-Nowak & Nowak (2020b)a;1.30332279;0.13126618;0.3623067;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.752885;-0.25453985;2.049231;0.15107967;0.6114849
Kostrzewa-Nowak & Nowak (2020b)b;0.94102327;0.10077397;0.3174492;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.696244;-0.38850192;1.535553;-0.88446443;0.6646615
Kostrzewa-Nowak & Nowak (2020b)c;-0.03635884;0.06761636;0.2600315;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.873589;0.08492953;1.850755;-0.03348522;0.5384453
Kostrzewa-Nowak & Nowak (2020b)d;0.15931463;0.06851858;0.2617605;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.463484;-0.35230112;1.439456;0.09386410;1.3045136
Kostrzewa-Nowak & Nowak (2020b)e;0.28388877;0.07058902;0.2656859;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;2.125884;-0.30070833;2.800341;0.39582611;1.3403497
Kostrzewa-Nowak et al. (2019);-3.87329611;3.13109679;1.7694905;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.64912658;NA;NA;6.1531124
Steensberg et al. (2001);0.14396558;0.11015732;0.3318996;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);0.86716202;0.08589584;0.2930799;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.12572940;0.13097959;0.3619110;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.00000000;0.12962463;0.3600342;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5760547
Lancaster et al. (2005)c;0.32866476;0.13888353;0.3726708;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4143248
Harbaum et al. (2016)a;1.12776127;0.11526100;0.3395011;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.14047618;-0.9659679
Harbaum et al. (2016)b;1.82857143;0.30093061;0.5485714;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15456067;NA;1.49249361;0.3588419
