Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.14390769;0.15329968;0.3915350;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;-0.56977434;0.10481345;0.3237491;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.1661495;NA;NA;-0.3678646
Kostrzewa-Nowak & Nowak (2018)b;-0.33954000;0.09434569;0.3071574;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.1520942;NA;NA;6.0562104
Kostrzewa-Nowak & Nowak (2020a)a;0.41211352;0.04674799;0.2162128;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.830197;0.1222041;1.406158;2.54191102;0.7821651
Kostrzewa-Nowak & Nowak (2020a)b;0.34606551;0.04561724;0.2135819;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.822292;0.9084411;2.049080;0.38109542;1.0068914
Kostrzewa-Nowak & Nowak (2020b)a;1.32690518;0.15585756;0.3947880;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.841245;-0.2572201;2.090661;0.15113574;0.6309329
Kostrzewa-Nowak & Nowak (2020b)b;0.94113832;0.11757911;0.3428981;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.786151;-0.3891877;1.556136;-0.90241028;0.6797493
Kostrzewa-Nowak & Nowak (2020b)c;-0.03639607;0.07888588;0.2808663;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.989014;0.0849445;1.947957;-0.03348874;0.5642967
Kostrzewa-Nowak & Nowak (2020b)d;0.16062015;0.07995662;0.2827660;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.552852;-0.3524317;1.465227;0.09401747;1.3706480
Kostrzewa-Nowak & Nowak (2020b)e;0.28527644;0.08238841;0.2870338;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;2.234086;-0.3042265;2.802416;0.41514539;1.4141303
Kostrzewa-Nowak et al. (2019);-4.03355167;3.94860674;1.9871101;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.6869667;NA;NA;6.1654634
Steensberg et al. (2001);0.14408811;0.12851962;0.3584963;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);0.87168589;0.10051773;0.3170453;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.12683912;0.15283755;0.3909444;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.00000000;0.15122873;0.3888814;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5777077
Lancaster et al. (2005)c;0.32866476;0.16203079;0.4025305;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4151270
Harbaum et al. (2016)a;1.15222748;0.13691166;0.3700158;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.0000000;NA;2.15308601;-0.9735009
Harbaum et al. (2016)b;1.82857143;0.35108571;0.5925249;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.1558756;NA;1.54203677;0.3588494
