Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.13131606;0.08740179;0.2956379;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;-0.50016062;0.05776534;0.2403442;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.15933174;NA;NA;-0.3544102
Kostrzewa-Nowak & Nowak (2018)b;-0.32249236;0.05358936;0.2314938;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.14876993;NA;NA;5.9424549
Kostrzewa-Nowak & Nowak (2020a)a;0.40834655;0.02667326;0.1633195;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.453888;0.12191051;1.203133;2.04848187;0.6961797
Kostrzewa-Nowak & Nowak (2020a)b;0.32432331;0.02587892;0.1608693;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.523957;0.88003743;1.712153;0.37974941;0.8999446
Kostrzewa-Nowak & Nowak (2020b)a;1.22971297;0.08284938;0.2878357;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.521167;-0.24577904;1.921521;0.15088391;0.5553346
Kostrzewa-Nowak & Nowak (2020b)b;0.94062093;0.06716372;0.2591596;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.463433;-0.38613002;1.469461;-0.82916935;0.6188192
Kostrzewa-Nowak & Nowak (2020b)c;-0.03622945;0.04507734;0.2123143;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.586628;0.08487718;1.598461;-0.03347291;0.4698438
Kostrzewa-Nowak & Nowak (2020b)d;0.15498406;0.04564503;0.2136470;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.240749;-0.35184540;1.358923;0.09333317;1.1313248
Kostrzewa-Nowak & Nowak (2020b)e;0.27918675;0.04699316;0.2167791;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.842810;-0.28929213;2.793117;0.34476099;1.1511660
Kostrzewa-Nowak et al. (2019);-3.43349575;1.65892724;1.2879935;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.55358484;NA;NA;6.1104613
Steensberg et al. (2001);0.14353919;0.07343277;0.2709848;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);0.85186596;0.05667958;0.2380747;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.12206303;0.08726781;0.2954113;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.00000000;0.08641642;0.2939667;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5703792
Lancaster et al. (2005)c;0.32866476;0.09258902;0.3042844;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4115534
Harbaum et al. (2016)a;1.05299020;0.07276424;0.2697485;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.09802578;-0.9409170
Harbaum et al. (2016)b;1.82857143;0.20062041;0.4479067;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15020744;NA;1.35052865;0.3588158
