Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.57087428;0.10503913;0.3240974;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;2.28923305;0.20034898;0.4476036;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.15933174;NA;NA;-0.3544102
Kostrzewa-Nowak & Nowak (2018)b;1.60292923;0.12402881;0.3521772;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.14876993;NA;NA;5.9424549
Kostrzewa-Nowak & Nowak (2020a)a;2.78093843;0.12431031;0.3525767;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.453888;0.12191051;1.203133;2.04848187;0.6961797
Kostrzewa-Nowak & Nowak (2020a)b;0.72879788;0.03137519;0.1771304;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.523957;0.88003743;1.712153;0.37974941;0.8999446
Kostrzewa-Nowak & Nowak (2020b)a;1.17132207;0.07934441;0.2816814;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.521167;-0.24577904;1.921521;0.15088391;0.5553346
Kostrzewa-Nowak & Nowak (2020b)b;1.10615138;0.07563380;0.2750160;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.463433;-0.38613002;1.469461;-0.82916935;0.6188192
Kostrzewa-Nowak & Nowak (2020b)c;1.24489515;0.08378863;0.2894627;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.586628;0.08487718;1.598461;-0.03347291;0.4698438
Kostrzewa-Nowak & Nowak (2020b)d;1.06179320;0.07322965;0.2706098;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.240749;-0.35184540;1.358923;0.09333317;1.1313248
Kostrzewa-Nowak & Nowak (2020b)e;3.27944133;0.31391291;0.5602793;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.842810;-0.28929213;2.793117;0.34476099;1.1511660
Kostrzewa-Nowak et al. (2019);-1.03471755;0.22982689;0.4794026;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.55358484;NA;NA;6.1104613
Steensberg et al. (2001);-1.03865953;0.12046433;0.3470797;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.27560503;0.04224141;0.2055272;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.36618908;0.09407896;0.3067229;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.09029115;0.08688228;0.2947580;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5703792
Lancaster et al. (2005)c;0.11620054;0.08718799;0.2952761;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4115534
Harbaum et al. (2016)a;0.94915254;0.06756679;0.2599361;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.09802578;-0.9409170
Harbaum et al. (2016)b;1.52146340;0.15946750;0.3993338;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15020744;NA;1.35052865;0.3588158
