Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.58347245;0.18527274;0.4304332;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;2.28972244;0.35072276;0.5922185;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.1661495;NA;NA;-0.3678646
Kostrzewa-Nowak & Nowak (2018)b;1.62387411;0.22042967;0.4694994;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.1520942;NA;NA;6.0562104
Kostrzewa-Nowak & Nowak (2020a)a;2.78160830;0.21762719;0.4665053;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.830197;0.1222041;1.406158;2.54191102;0.7821651
Kostrzewa-Nowak & Nowak (2020a)b;0.80443240;0.05752515;0.2398440;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.822292;0.9084411;2.049080;0.38109542;1.0068914
Kostrzewa-Nowak & Nowak (2020b)a;1.22467085;0.14444499;0.3800592;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.841245;-0.2572201;2.090661;0.15113574;0.6309329
Kostrzewa-Nowak & Nowak (2020b)b;1.11674182;0.13338909;0.3652247;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.786151;-0.3891877;1.556136;-0.90241028;0.6797493
Kostrzewa-Nowak & Nowak (2020b)c;1.24556180;0.14670273;0.3830179;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.989014;0.0849445;1.947957;-0.03348874;0.5642967
Kostrzewa-Nowak & Nowak (2020b)d;1.07136286;0.12904498;0.3592283;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.552852;-0.3524317;1.465227;0.09401747;1.3706480
Kostrzewa-Nowak & Nowak (2020b)e;3.28399227;0.55065440;0.7420609;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;2.234086;-0.3042265;2.802416;0.41514539;1.4141303
Kostrzewa-Nowak et al. (2019);-1.25363589;0.51908831;0.7204778;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.6869667;NA;NA;6.1654634
Steensberg et al. (2001);-1.16402060;0.23228937;0.4819641;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.27661280;0.07394411;0.2719267;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.38051737;0.16570808;0.4070726;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.09217373;0.15207833;0.3899722;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5777077
Lancaster et al. (2005)c;0.13580327;0.15307299;0.3912454;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4151270
Harbaum et al. (2016)a;0.94915254;0.11824188;0.3438632;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.0000000;NA;2.15308601;-0.9735009
Harbaum et al. (2016)b;1.66485114;0.31104962;0.5577182;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.1558756;NA;1.54203677;0.3588494
