Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.56162072;0.07833022;0.2798754;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;2.28885264;0.15022441;0.3875879;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.15457295;NA;NA;-0.3449090
Kostrzewa-Nowak & Nowak (2018)b;1.58718756;0.09194551;0.3032252;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.14632992;NA;NA;5.8582786
Kostrzewa-Nowak & Nowak (2020a)a;2.78041775;0.09320471;0.3052945;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.281588;0.12168359;1.094490;1.81583844;0.6459394
Kostrzewa-Nowak & Nowak (2020a)b;0.68276712;0.02290260;0.1513360;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.347748;0.85969847;1.540825;0.37871231;0.8368596
Kostrzewa-Nowak & Nowak (2020b)a;1.13432973;0.05790909;0.2406431;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.362257;-0.23786471;1.815053;0.15068891;0.5122656
Kostrzewa-Nowak & Nowak (2020b)b;1.09811951;0.05639339;0.2374729;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.305978;-0.38380103;1.411229;-0.78309722;0.5813175
Kostrzewa-Nowak & Nowak (2020b)c;1.24437738;0.06281730;0.2506338;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.400828;0.08482492;1.427394;-0.03346062;0.4221738
Kostrzewa-Nowak & Nowak (2020b)d;1.05452487;0.05463382;0.2337388;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.096152;-0.35139144;1.290552;0.09281114;1.0127400
Kostrzewa-Nowak & Nowak (2020b)e;3.27591477;0.23500122;0.4847692;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.649195;-0.27908465;2.785947;0.30943305;1.0245779
Kostrzewa-Nowak et al. (2019);-0.92624913;0.15109987;0.3887157;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.49070448;NA;NA;6.0686850
Steensberg et al. (2001);-0.96499240;0.08542813;0.2922809;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.27482877;0.03167394;0.1779717;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.35609929;0.07024689;0.2650413;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.08890411;0.06515105;0.2552470;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5648681
Lancaster et al. (2005)c;0.10570968;0.06529122;0.2555215;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4088368
Harbaum et al. (2016)a;0.94915254;0.05067509;0.2251113;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.05800483;-0.9177192
Harbaum et al. (2016)b;1.43241043;0.11170909;0.3342291;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.14620247;NA;1.24263548;0.3587897
