Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.5766509;0.13177240;0.3630047;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;2.2894614;0.25047356;0.5004733;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.16240702;NA;NA;-0.3605022
Kostrzewa-Nowak & Nowak (2018)b;1.6126021;0.15614685;0.3951542;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.15029386;NA;NA;5.9947364
Kostrzewa-Nowak & Nowak (2020a)a;2.7812510;0.15541593;0.3942283;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.597944;0.12204727;1.286224;2.23987049;0.7326032
Kostrzewa-Nowak & Nowak (2020a)b;0.7613272;0.04000080;0.2000020;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.650848;0.89295629;1.847175;0.38037577;0.9454102
Kostrzewa-Nowak & Nowak (2020b)a;1.1953337;0.10095637;0.3177363;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.648141;-0.25092445;1.995159;0.15100128;0.5870502
Kostrzewa-Nowak & Nowak (2020b)b;1.1110559;0.09488207;0.3080293;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.590499;-0.38754793;1.508062;-0.86104856;0.6451324
Kostrzewa-Nowak & Nowak (2020b)c;1.2452061;0.10475998;0.3236665;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.741255;0.08490858;1.736262;-0.03348030;0.5075755
Kostrzewa-Nowak & Nowak (2020b)d;1.0662270;0.09183191;0.3030378;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.360863;-0.35211862;1.405559;0.09365064;1.2261842
Kostrzewa-Nowak & Nowak (2020b)e;3.2815627;0.39282610;0.6267584;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.997808;-0.29598181;2.797445;0.37281259;1.2541013
Kostrzewa-Nowak et al. (2019);-1.1214872;0.31846579;0.5643277;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.60531775;NA;NA;6.1359450
Steensberg et al. (2001);-1.0918775;0.15687946;0.3960801;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.2760739;0.05280895;0.2298020;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.3726708;0.11794078;0.3434251;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.0911552;0.10861404;0.3295664;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5737642
Lancaster et al. (2005)c;0.1242236;0.10912277;0.3303374;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4132095
Harbaum et al. (2016)a;0.9491525;0.08445849;0.2906174;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.12318890;-0.9557096
Harbaum et al. (2016)b;1.5835893;0.20897959;0.4571429;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15277440;NA;1.43052482;0.3588315
