Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;-0.1906081;0.05165594;0.2272794;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;3.89131708;NA;NA;0.9799225
Kostrzewa-Nowak & Nowak (2018)b;-0.2425715;0.05229906;0.2286899;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;7.7366498
Kostrzewa-Nowak & Nowak (2020a)a;0.2284101;0.02519486;0.1587289;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.454966;0.86454114;0.433594;1.69782236;0.7928278
Kostrzewa-Nowak & Nowak (2020a)b;0.7036663;0.03091067;0.1758143;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.313683;0.48495769;4.141964;0.40966220;0.6612008
Kostrzewa-Nowak & Nowak (2020b)a;1.0835243;0.07439515;0.2727547;18.00;male;19.28;Low;Maximal;20;176.0;intra;2.641276;0.89702727;1.560609;0.17683168;0.8804393
Kostrzewa-Nowak & Nowak (2020b)b;1.1323908;0.07710225;0.2776729;19.00;male;19.44;Low;Maximal;20;176.0;intra;2.669714;0.80468218;1.287699;0.01043923;0.9019114
Kostrzewa-Nowak & Nowak (2020b)c;0.6633019;0.05604376;0.2367356;20.00;male;20.49;Low;Maximal;20;176.0;intra;3.902212;0.78543580;1.195969;0.20229619;0.7540309
Kostrzewa-Nowak & Nowak (2020b)d;0.1482736;0.04559415;0.2135279;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.160423;-0.09195693;1.925015;0.27953425;1.2672407
Kostrzewa-Nowak & Nowak (2020b)e;0.2797053;0.04700040;0.2167958;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.196753;0.50240404;1.268169;0.43562682;4.1384957
Kostrzewa-Nowak et al. (2019);-3.7556293;1.96770835;1.4027503;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.16842668;NA;NA;9.5554877
Steensberg et al. (2001);0.2795231;0.07598964;0.2756622;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
