Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;-0.2106666;0.09080034;0.3013309;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;4.45779590;NA;NA;1.1918914
Kostrzewa-Nowak & Nowak (2018)b;-0.2588769;0.09193218;0.3032032;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;8.6218485
Kostrzewa-Nowak & Nowak (2020a)a;0.2390561;0.04420339;0.2102460;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.851163;0.99462890;0.5239249;1.98596726;0.9172606
Kostrzewa-Nowak & Nowak (2020a)b;0.7108516;0.05432318;0.2330733;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.546471;0.48771914;4.6281136;0.41152543;0.7119473
Kostrzewa-Nowak & Nowak (2020b)a;1.2777195;0.15025273;0.3876245;18.00;male;19.28;Low;Maximal;20;176.0;intra;3.141421;1.11264419;1.7283755;0.17688978;1.1029448
Kostrzewa-Nowak & Nowak (2020b)b;1.1337244;0.13506115;0.3675067;19.00;male;19.44;Low;Maximal;20;176.0;intra;3.192855;0.97047652;1.3811257;0.01091321;1.1250942
Kostrzewa-Nowak & Nowak (2020b)c;0.6652829;0.09819173;0.3133556;20.00;male;20.49;Low;Maximal;20;176.0;intra;4.583471;0.96129533;1.4039224;0.21243483;0.9640532
Kostrzewa-Nowak & Nowak (2020b)d;0.1517875;0.07983590;0.2825525;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.673350;-0.09232185;2.0743147;0.28354728;1.6241066
Kostrzewa-Nowak & Nowak (2020b)e;0.2845767;0.08237097;0.2870034;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.696656;0.50241749;1.4626920;0.49405032;5.1144321
Kostrzewa-Nowak et al. (2019);-4.5847868;5.05711070;2.2488021;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.20910212;NA;NA;9.6414995
Steensberg et al. (2001);0.3288052;0.13531362;0.3678500;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
