Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;-0.2056648;0.07773961;0.2788182;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;4.31070380;NA;NA;1.1330623
Kostrzewa-Nowak & Nowak (2018)b;-0.2549702;0.07871298;0.2805583;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;8.3990345
Kostrzewa-Nowak & Nowak (2020a)a;0.2365620;0.03786566;0.1945910;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.735675;0.96068830;0.4990358;1.90938154;0.8845907
Kostrzewa-Nowak & Nowak (2020a)b;0.7092358;0.04651831;0.2156810;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.491491;0.48710141;4.5053771;0.41110918;0.6996642
Kostrzewa-Nowak & Nowak (2020b)a;1.2256371;0.12389878;0.3519926;18.00;male;19.28;Low;Maximal;20;176.0;intra;3.006004;1.05150501;1.6864439;0.17687686;1.0391676
Kostrzewa-Nowak & Nowak (2020b)b;1.1334276;0.11574147;0.3402080;19.00;male;19.44;Low;Maximal;20;176.0;intra;3.050342;0.92489038;1.3586128;0.01080231;1.0614154
Kostrzewa-Nowak & Nowak (2020b)c;0.6648412;0.08414231;0.2900729;20.00;male;20.49;Low;Maximal;20;176.0;intra;4.401560;0.91215342;1.3484315;0.21005035;0.9025099
Kostrzewa-Nowak & Nowak (2020b)d;0.1509850;0.06842166;0.2615753;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.528285;-0.09224038;2.0381460;0.28264057;1.5192623
Kostrzewa-Nowak & Nowak (2020b)e;0.2834722;0.07058016;0.2656693;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.556505;0.50241450;1.4117957;0.47905061;4.8388090
Kostrzewa-Nowak et al. (2019);-4.3537371;3.92161764;1.9803075;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.19755690;NA;NA;9.6221851
Steensberg et al. (2001);0.3156243;0.11541683;0.3397305;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
