Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;-0.1784378;0.03864571;0.1965851;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;3.57451038;NA;NA;0.8757535
Kostrzewa-Nowak & Nowak (2018)b;-0.2318218;0.03911502;0.1977752;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;7.2097340
Kostrzewa-Nowak & Nowak (2020a)a;0.2210468;0.01886412;0.1373467;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.277416;0.79247469;0.3885843;1.54390679;0.7247441
Kostrzewa-Nowak & Nowak (2020a)b;0.6982260;0.02310920;0.1520171;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.155447;0.48284203;3.8543360;0.40823039;0.6284549
Kostrzewa-Nowak & Nowak (2020b)a;0.9815982;0.05184968;0.2277052;18.00;male;19.28;Low;Maximal;20;176.0;intra;2.383550;0.79528216;1.4593019;0.17678654;0.7775499
Kostrzewa-Nowak & Nowak (2020b)b;1.1313568;0.05778280;0.2403805;19.00;male;19.44;Low;Maximal;20;176.0;intra;2.403302;0.72173939;1.2268436;0.01011045;0.7978184
Kostrzewa-Nowak & Nowak (2020b)c;0.6617733;0.04199484;0.2049264;20.00;male;20.49;Low;Maximal;20;176.0;intra;3.541579;0.70012657;1.0857435;0.19534189;0.6608284
Kostrzewa-Nowak & Nowak (2020b)d;0.1457031;0.03418145;0.1848823;16.00;male;21.91;Low;Maximal;20;176.0;intra;1.917196;-0.09167607;1.8288481;0.27652815;1.1096310
Kostrzewa-Nowak & Nowak (2020b)e;0.2760848;0.03521257;0.1876501;17.00;male;21.54;Low;Maximal;20;176.0;intra;1.955752;0.50239358;1.1610093;0.40220904;3.6744764
Kostrzewa-Nowak et al. (2019);-3.3512596;1.18840020;1.0901377;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.14926878;NA;NA;9.4901583
Steensberg et al. (2001);0.2535178;0.05653017;0.2377607;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
