Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;2.3649081;0.31561785;0.5617988;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;4.31070380;NA;NA;1.1330623
Kostrzewa-Nowak & Nowak (2018)b;2.3076098;0.30414382;0.5514924;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;8.3990345
Kostrzewa-Nowak & Nowak (2020a)a;1.3846048;0.07388828;0.2718240;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.735675;0.96068830;0.4990358;1.90938154;0.8845907
Kostrzewa-Nowak & Nowak (2020a)b;1.9032297;0.10689124;0.3269423;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.491491;0.48710141;4.5053771;0.41110918;0.6996642
Kostrzewa-Nowak & Nowak (2020b)a;1.3455198;0.13545767;0.3680457;18.00;male;19.28;Low;Maximal;20;176.0;intra;3.006004;1.05150501;1.6864439;0.17687686;1.0391676
Kostrzewa-Nowak & Nowak (2020b)b;1.3865891;0.13966539;0.3737183;19.00;male;19.44;Low;Maximal;20;176.0;intra;3.050342;0.92489038;1.3586128;0.01080231;1.0614154
Kostrzewa-Nowak & Nowak (2020b)c;1.4210974;0.14329871;0.3785482;20.00;male;20.49;Low;Maximal;20;176.0;intra;4.401560;0.91215342;1.3484315;0.21005035;0.9025099
Kostrzewa-Nowak & Nowak (2020b)d;1.6807680;0.17350358;0.4165376;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.528285;-0.09224038;2.0381460;0.28264057;1.5192623
Kostrzewa-Nowak & Nowak (2020b)e;3.9621549;0.65626696;0.8101031;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.556505;0.50241450;1.4117957;0.47905061;4.8388090
Kostrzewa-Nowak et al. (2019);7.5903209;11.65320653;3.4136793;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.19755690;NA;NA;9.6221851
Steensberg et al. (2001);-0.4570863;0.12270411;0.3502915;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
