Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;2.1643625;0.13834482;0.3719473;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;3.57451038;NA;NA;0.8757535
Kostrzewa-Nowak & Nowak (2018)b;2.2959137;0.15091813;0.3884818;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;7.2097340
Kostrzewa-Nowak & Nowak (2020a)a;1.3334614;0.03559887;0.1886766;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.277416;0.79247469;0.3885843;1.54390679;0.7247441
Kostrzewa-Nowak & Nowak (2020a)b;1.8358134;0.05100621;0.2258455;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.155447;0.48284203;3.8543360;0.40823039;0.6284549
Kostrzewa-Nowak & Nowak (2020b)a;1.1714143;0.05951236;0.2439516;18.00;male;19.28;Low;Maximal;20;176.0;intra;2.383550;0.79528216;1.4593019;0.17678654;0.7775499
Kostrzewa-Nowak & Nowak (2020b)b;1.2357219;0.06241481;0.2498296;19.00;male;19.44;Low;Maximal;20;176.0;intra;2.403302;0.72173939;1.2268436;0.01011045;0.7978184
Kostrzewa-Nowak & Nowak (2020b)c;1.3942123;0.07023017;0.2650098;20.00;male;20.49;Low;Maximal;20;176.0;intra;3.541579;0.70012657;1.0857435;0.19534189;0.6608284
Kostrzewa-Nowak & Nowak (2020b)d;1.5854447;0.08091405;0.2844539;16.00;male;21.91;Low;Maximal;20;176.0;intra;1.917196;-0.09167607;1.8288481;0.27652815;1.1096310
Kostrzewa-Nowak & Nowak (2020b)e;3.9482529;0.32607153;0.5710267;17.00;male;21.54;Low;Maximal;20;176.0;intra;1.955752;0.50239358;1.1610093;0.40220904;3.6744764
Kostrzewa-Nowak et al. (2019);6.1061956;3.79386857;1.9477856;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.14926878;NA;NA;9.4901583
Steensberg et al. (2001);-0.4430722;0.06093156;0.2468432;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
