Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Kostrzewa-Nowak & Nowak (2018)a;2.2579832;0.19628898;0.4430451;18.71;male;21.60;Moderate;Maximal;20;176.0;intra;NA;3.89131708;NA;NA;0.9799225
Kostrzewa-Nowak & Nowak (2018)b;2.3017395;0.20198945;0.4494324;16.79;male;21.50;Moderate;Maximal;20;176.0;intra;NA;0.46071107;NA;NA;7.7366498
Kostrzewa-Nowak & Nowak (2020a)a;1.3583115;0.04832827;0.2198369;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.454966;0.86454114;0.433594;1.69782236;0.7928278
Kostrzewa-Nowak & Nowak (2020a)b;1.8686101;0.06957593;0.2637725;17.90;male;21.70;Serious;Maximal;NA;NA;intra;4.313683;0.48495769;4.141964;0.40966220;0.6612008
Kostrzewa-Nowak & Nowak (2020b)a;1.2494595;0.08407325;0.2899539;18.00;male;19.28;Low;Maximal;20;176.0;intra;2.641276;0.89702727;1.560609;0.17683168;0.8804393
Kostrzewa-Nowak & Nowak (2020b)b;1.3046583;0.08759786;0.2959694;19.00;male;19.44;Low;Maximal;20;176.0;intra;2.669714;0.80468218;1.287699;0.01043923;0.9019114
Kostrzewa-Nowak & Nowak (2020b)c;1.4074623;0.09456828;0.3075196;20.00;male;20.49;Low;Maximal;20;176.0;intra;3.902212;0.78543580;1.195969;0.20229619;0.7540309
Kostrzewa-Nowak & Nowak (2020b)d;1.6310209;0.11155026;0.3339914;16.00;male;21.91;Low;Maximal;20;176.0;intra;2.160423;-0.09195693;1.925015;0.27953425;1.2672407
Kostrzewa-Nowak & Nowak (2020b)e;3.9551855;0.43613184;0.6604028;17.00;male;21.54;Low;Maximal;20;176.0;intra;2.196753;0.50240404;1.268169;0.43562682;4.1384957
Kostrzewa-Nowak et al. (2019);6.7284643;6.12337241;2.4745449;30.00;male;23.00;Moderate;Maximal;18;158.4;NA;NA;-0.16842668;NA;NA;9.5554877
Steensberg et al. (2001);-0.4499156;0.08151368;0.2855060;30.00;male;NA;Moderate;Vigorous;150;1050.0;intra;NA;NA;NA;NA;NA
