Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);-0.4352379;0.1215514;0.3486422;28;male;NA;Serious;Vigorous;90;630;intra;NA;NA;NA;NA;NA
Steensberg et al. (2001);-1.1639195;0.1659079;0.4073179;30;male;NA;Moderate;Vigorous;150;1050;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;-0.6573295;0.1388835;0.3726708;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)b;0.0000000;0.1080205;0.3286648;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)c;0.0000000;0.1080205;0.3286648;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
