Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);-0.4352456;0.1458622;0.3819192;28;male;NA;Serious;Vigorous;90;630;intra;NA;NA;NA;NA;NA
Steensberg et al. (2001);-1.2573318;0.2141678;0.4627827;30;male;NA;Moderate;Vigorous;150;1050;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;-0.6573295;0.1666602;0.4082404;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)b;0.0000000;0.1296246;0.3600342;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)c;0.0000000;0.1296246;0.3600342;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
