Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);-0.4352512;0.1701731;0.4125204;28;male;NA;Serious;Vigorous;90;630;intra;NA;NA;NA;NA;NA
Steensberg et al. (2001);-1.3397518;0.2665109;0.5162469;30;male;NA;Moderate;Vigorous;150;1050;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;-0.6573295;0.1944369;0.4409500;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)b;0.0000000;0.1512287;0.3888814;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
Lancaster et al. (2005)c;0.0000000;0.1512287;0.3888814;25;male;NA;Low;Vigorous;150;918;intra;NA;NA;NA;NA;NA
