Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.33024796;0.09264863;0.3043824;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;0.62075296;0.06162744;0.2482488;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.15933174;NA;NA;-0.3544102
Kostrzewa-Nowak & Nowak (2018)b;0.97462222;0.07775756;0.2788504;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.14876993;NA;NA;5.9424549
Kostrzewa-Nowak & Nowak (2020a)a;1.19978558;0.04309569;0.2075950;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.453888;0.12191051;1.203133;2.04848187;0.6961797
Kostrzewa-Nowak & Nowak (2020a)b;0.37262616;0.02631330;0.1622138;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.523957;0.88003743;1.712153;0.37974941;0.8999446
Kostrzewa-Nowak & Nowak (2020b)a;0.37083914;0.04848257;0.2201876;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.521167;-0.24577904;1.921521;0.15088391;0.5553346
Kostrzewa-Nowak & Nowak (2020b)b;0.02839264;0.04506468;0.2122844;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.463433;-0.38613002;1.469461;-0.82916935;0.6188192
Kostrzewa-Nowak & Nowak (2020b)c;0.82438149;0.06203465;0.2490676;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.586628;0.08487718;1.598461;-0.03347291;0.4698438
Kostrzewa-Nowak & Nowak (2020b)d;0.38576769;0.04876495;0.2208279;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.240749;-0.35184540;1.358923;0.09333317;1.1313248
Kostrzewa-Nowak & Nowak (2020b)e;1.19984240;0.08103507;0.2846666;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.842810;-0.28929213;2.793117;0.34476099;1.1511660
Kostrzewa-Nowak et al. (2019);3.56675507;1.78330706;1.3354052;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.55358484;NA;NA;6.1104613
Steensberg et al. (2001);-1.24487982;0.14139375;0.3760236;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.94865921;0.06055244;0.2460740;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.03301325;0.08647870;0.2940726;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.07323645;0.08672291;0.2944875;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5703792
Lancaster et al. (2005)c;-0.22259498;0.08924776;0.2987436;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4115534
Harbaum et al. (2016)a;-0.21496819;0.04619981;0.2149414;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.09802578;-0.9409170
Harbaum et al. (2016)b;1.05016329;0.11098719;0.3331474;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15020744;NA;1.35052865;0.3588158
