Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.36062472;0.14077179;0.3751957;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;0.64772278;0.09390733;0.3064430;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.16455898;NA;NA;-0.3647425
Kostrzewa-Nowak & Nowak (2018)b;1.00573498;0.11927696;0.3453650;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.15133623;NA;NA;6.0303673
Kostrzewa-Nowak & Nowak (2020a)a;1.21496131;0.06535281;0.2556420;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.721764;0.12213871;1.352246;2.40193446;0.7603218
Kostrzewa-Nowak & Nowak (2020a)b;0.37450817;0.03949717;0.1987390;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.746909;0.90189180;1.957225;0.38079507;0.9798508
Kostrzewa-Nowak & Nowak (2020b)a;0.38262623;0.07305690;0.2702904;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.752885;-0.25453985;2.049231;0.15107967;0.6114849
Kostrzewa-Nowak & Nowak (2020b)b;0.02854996;0.06759736;0.2599949;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.696244;-0.38850192;1.535553;-0.88446443;0.6646615
Kostrzewa-Nowak & Nowak (2020b)c;0.91495655;0.09895975;0.3145787;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.873589;0.08492953;1.850755;-0.03348522;0.5384453
Kostrzewa-Nowak & Nowak (2020b)d;0.39115151;0.07330427;0.2707476;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.463484;-0.35230112;1.439456;0.09386410;1.3045136
Kostrzewa-Nowak & Nowak (2020b)e;1.20977208;0.12244986;0.3499284;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;2.125884;-0.30070833;2.800341;0.39582611;1.3403497
Kostrzewa-Nowak et al. (2019);3.82557286;3.05761379;1.7486034;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.64912658;NA;NA;6.1531124
Steensberg et al. (2001);-1.35744310;0.23161903;0.4812682;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.96692193;0.09199478;0.3033064;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.03347211;0.12972066;0.3601675;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.07343895;0.13008691;0.3606756;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5760547
Lancaster et al. (2005)c;-0.22849572;0.13409980;0.3661964;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4143248
Harbaum et al. (2016)a;-0.21498260;0.06929995;0.2632488;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.14047618;-0.9659679
Harbaum et al. (2016)b;1.07486090;0.16962976;0.4118613;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15456067;NA;1.49249361;0.3588419
