Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.30644635;0.06883700;0.2623681;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;0.59689382;0.04559804;0.2135370;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.15457295;NA;NA;-0.3449090
Kostrzewa-Nowak & Nowak (2018)b;0.94622905;0.05714948;0.2390596;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.14632992;NA;NA;5.8582786
Kostrzewa-Nowak & Nowak (2020a)a;1.18516466;0.03198432;0.1788416;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.281588;0.12168359;1.094490;1.81583844;0.6459394
Kostrzewa-Nowak & Nowak (2020a)b;0.37077224;0.01972164;0.1404338;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.347748;0.85969847;1.540825;0.37871231;0.8368596
Kostrzewa-Nowak & Nowak (2020b)a;0.36007831;0.03621445;0.1903010;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.362257;-0.23786471;1.815053;0.15068891;0.5122656
Kostrzewa-Nowak & Nowak (2020b)b;0.02823790;0.03379835;0.1838433;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.305978;-0.38380103;1.411229;-0.78309722;0.5813175
Kostrzewa-Nowak & Nowak (2020b)c;0.75628532;0.04450779;0.2109687;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.400828;0.08482492;1.427394;-0.03346062;0.4221738
Kostrzewa-Nowak & Nowak (2020b)d;0.38060022;0.03649946;0.1910483;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.096152;-0.35139144;1.290552;0.09281114;1.0127400
Kostrzewa-Nowak & Nowak (2020b)e;1.19015329;0.06034211;0.2456463;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.649195;-0.27908465;2.785947;0.30943305;1.0245779
Kostrzewa-Nowak et al. (2019);3.35423447;1.19039501;1.0910522;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.49070448;NA;NA;6.0686850
Steensberg et al. (2001);-1.15635548;0.09895972;0.3145786;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.93139370;0.04487333;0.2118332;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.03257277;0.06485779;0.2546719;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.07303562;0.06504092;0.2550312;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5648681
Lancaster et al. (2005)c;-0.21712899;0.06683281;0.2585204;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4088368
Harbaum et al. (2016)a;-0.21495377;0.03464974;0.1861444;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.05800483;-0.9177192
Harbaum et al. (2016)b;1.02709348;0.08180273;0.2860118;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.14620247;NA;1.24263548;0.3587897
