Study;g;V_g;SE_g;age;sex;bmi;RoB;intensity;duration;dose;staining;IFN;IL_10;IL_2;IL_4;IL_6
Ibfelt et al. (2002);0.34749917;0.11664593;0.3415347;28.00;male;NA;Serious;Vigorous;90.0;630.00;intra;NA;NA;NA;NA;NA
Kostrzewa-Nowak & Nowak (2018)a;0.63651915;0.07774225;0.2788230;18.71;male;21.60;Moderate;Maximal;20.0;176.00;intra;NA;0.16240702;NA;NA;-0.3605022
Kostrzewa-Nowak & Nowak (2018)b;0.99293614;0.09848387;0.3138214;16.79;male;21.50;Moderate;Maximal;20.0;176.00;intra;NA;0.15029386;NA;NA;5.9947364
Kostrzewa-Nowak & Nowak (2020a)a;1.20882221;0.05422068;0.2328533;17.87;male;22.29;Serious;Maximal;NA;NA;intra;1.597944;0.12204727;1.286224;2.23987049;0.7326032
Kostrzewa-Nowak & Nowak (2020a)b;0.37375195;0.03290518;0.1813979;17.90;male;21.70;Serious;Maximal;NA;NA;intra;2.650848;0.89295629;1.847175;0.38037577;0.9454102
Kostrzewa-Nowak & Nowak (2020b)a;0.37777795;0.06076554;0.2465067;18.00;male;19.28;Low;Maximal;20.0;176.00;intra;1.648141;-0.25092445;1.995159;0.15100128;0.5870502
Kostrzewa-Nowak & Nowak (2020b)b;0.02848672;0.05633102;0.2373416;19.00;male;19.44;Low;Maximal;20.0;176.00;intra;1.590499;-0.38754793;1.508062;-0.86104856;0.6451324
Kostrzewa-Nowak & Nowak (2020b)c;0.87527608;0.08024654;0.2832782;20.00;male;20.49;Low;Maximal;20.0;176.00;intra;1.741255;0.08490858;1.736262;-0.03348030;0.5075755
Kostrzewa-Nowak & Nowak (2020b)d;0.38897106;0.06103374;0.2470501;16.00;male;21.91;Low;Maximal;20.0;176.00;intra;1.360863;-0.35211862;1.405559;0.09365064;1.2261842
Kostrzewa-Nowak & Nowak (2020b)e;1.20577071;0.10173950;0.3189663;17.00;male;21.54;Low;Maximal;20.0;176.00;intra;1.997808;-0.29598181;2.797445;0.37281259;1.2541013
Kostrzewa-Nowak et al. (2019);3.71544906;2.40960383;1.5522899;30.00;male;23.00;Moderate;Maximal;18.0;158.40;NA;NA;0.60531775;NA;NA;6.1359450
Steensberg et al. (2001);-1.30886480;0.18582004;0.4310685;30.00;male;NA;Moderate;Vigorous;150.0;1050.00;intra;NA;NA;NA;NA;NA
Tsubakihara et al. (2012);-0.95949109;0.07626468;0.2761606;NA;female;21.68;Serious;NA;120.0;NA;extra;NA;NA;NA;NA;NA
Lancaster et al. (2005)a;0.03328628;0.10809967;0.3287851;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;1.3146590
Lancaster et al. (2005)b;0.07335775;0.10840491;0.3292490;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.5737642
Lancaster et al. (2005)c;-0.22607961;0.11167138;0.3341727;25.00;male;NA;Low;Vigorous;150.0;918.00;intra;NA;NA;NA;NA;0.4132095
Harbaum et al. (2016)a;-0.21497683;0.05774988;0.2403120;58.00;mixed;25.00;Serious;Maximal;7.3;64.24;extra;NA;0.00000000;NA;2.12318890;-0.9557096
Harbaum et al. (2016)b;1.06477440;0.14027906;0.3745385;58.00;mixed;24.00;Serious;Maximal;13.0;114.40;extra;NA;0.15277440;NA;1.43052482;0.3588315
